speaker_id,utterance_id,baseline_cosine,adapted_cosine,cosine_improvement
p317,p317_010,-0.05625659227371216,0.22301602363586426,0.2792726159095764
p317,p317_011,0.05897151306271553,0.2232438027858734,0.16427228972315788
p317,p317_012,0.006896467879414558,0.19532719254493713,0.18843072466552258
p317,p317_013,0.09029155969619751,0.2799597680568695,0.189668208360672
p317,p317_014,0.01177004911005497,0.14407135546207428,0.1323013063520193
p317,p317_015,0.013618987053632736,0.17848336696624756,0.16486437991261482
p317,p317_016,0.057744093239307404,0.22512152791023254,0.16737743467092514
p317,p317_017,0.06262297928333282,0.22633254528045654,0.16370956599712372
p317,p317_018,-0.04069462791085243,0.18728822469711304,0.22798285260796547
p317,p317_019,0.0008355043828487396,0.23317795991897583,0.2323424555361271
p317,p317_020,0.064713254570961,0.26403528451919556,0.19932202994823456
p317,p317_021,-0.004072063602507114,0.2247658520936966,0.2288379156962037
p317,p317_022,0.01783047616481781,0.21732567250728607,0.19949519634246826
p317,p317_023,0.058892473578453064,0.2358037233352661,0.17691124975681305
p317,p317_024,0.004946418106555939,0.22088149189949036,0.21593507379293442
p317,p317_025,-0.051439255475997925,0.24873387813568115,0.3001731336116791
p317,p317_026,0.045002758502960205,0.2746780514717102,0.22967529296875
p317,p317_027,-0.014291937462985516,0.22678521275520325,0.24107715021818876
p317,p317_028,-0.023861978203058243,0.3007633686065674,0.3246253468096256
p317,p317_029,-0.03606322780251503,0.1389670968055725,0.17503032460808754
p317,p317_030,0.026170235127210617,0.16781216859817505,0.14164193347096443
p317,p317_031,0.1672162413597107,0.3230915665626526,0.1558753252029419
p317,p317_032,-0.00542514119297266,0.19453075528144836,0.19995589647442102
p317,p317_033,-0.014612396247684956,0.19746960699558258,0.21208200324326754
p317,p317_034,-0.004532946273684502,0.21782204508781433,0.22235499136149883
p317,p317_035,-0.05809552222490311,0.18656009435653687,0.24465561658143997
p317,p317_036,-0.009399287402629852,0.27240702509880066,0.2818063125014305
p317,p317_037,0.005349156446754932,0.26001811027526855,0.2546689538285136
p317,p317_038,-0.06651079654693604,0.2604801058769226,0.32699090242385864
p317,p317_039,0.04672893509268761,0.270119309425354,0.2233903743326664
p317,p317_040,-0.13231094181537628,0.2164103388786316,0.3487212806940079
p317,p317_041,0.04591173678636551,0.2296174168586731,0.1837056800723076
p317,p317_042,0.01002262718975544,0.25201016664505005,0.2419875394552946
p317,p317_043,-0.008643602952361107,0.16393977403640747,0.17258337698876858
p317,p317_044,-0.026868317276239395,0.19697771966457367,0.22384603694081306
p317,p317_045,-0.05405934154987335,0.26267749071121216,0.3167368322610855
p281,p281_002,-0.06552127003669739,0.3191477060317993,0.3846689760684967
p281,p281_003,-0.0747411772608757,0.21713778376579285,0.29187896102666855
p281,p281_004,-0.07201553136110306,0.256021112203598,0.3280366435647011
p281,p281_005,0.005692683160305023,0.21062245965003967,0.20492977648973465
p281,p281_006,-0.06671905517578125,0.230324849486351,0.29704390466213226
p281,p281_007,-0.004309600219130516,0.13268132507801056,0.13699092529714108
p281,p281_008,-0.023418137803673744,0.24808035790920258,0.2714984957128763
p281,p281_009,-0.05305713415145874,0.17121940851211548,0.22427654266357422
p281,p281_010,-0.09741989523172379,0.13808967173099518,0.23550956696271896
p281,p281_011,-0.04981280863285065,0.1534366011619568,0.20324940979480743
p281,p281_012,-0.01679273135960102,0.19258147478103638,0.2093742061406374
p281,p281_013,-0.03018413484096527,0.2150835394859314,0.24526767432689667
p281,p281_014,-0.08760310709476471,0.20668435096740723,0.29428745806217194
p281,p281_015,-0.0925416499376297,0.19487956166267395,0.28742121160030365
p281,p281_016,-0.07722067832946777,0.2369096428155899,0.3141303211450577
p281,p281_017,-0.028976306319236755,0.2547653317451477,0.28374163806438446
p281,p281_018,-0.1128903403878212,0.19250497221946716,0.30539531260728836
p281,p281_019,-0.05815679579973221,0.17397648096084595,0.23213327676057816
p281,p281_020,0.034290753304958344,0.19668051600456238,0.16238976269960403
p281,p281_021,-0.04142565280199051,0.18830975890159607,0.22973541170358658
p281,p281_022,0.05000343546271324,0.2319604903459549,0.18195705488324165
p281,p281_023,-0.009408365935087204,0.22296640276908875,0.23237476870417595
p281,p281_024,-0.01830282434821129,0.2241131067276001,0.24241593107581139
p281,p281_025,0.056509971618652344,0.20384706556797028,0.14733709394931793
p281,p281_026,-0.06674566119909286,0.12349417805671692,0.19023983925580978
p281,p281_027,-0.016997389495372772,0.18143592774868011,0.1984333172440529
p281,p281_028,0.019264131784439087,0.230703666806221,0.21143953502178192
p281,p281_029,0.002875927835702896,0.2607022821903229,0.25782635435462
p281,p281_030,0.09897202253341675,0.21108698844909668,0.11211496591567993
p281,p281_031,-0.0021316148340702057,0.19391463696956635,0.19604625180363655
p281,p281_032,0.001249486580491066,0.20697499811649323,0.20572551153600216
p281,p281_033,0.020744429901242256,0.22319966554641724,0.20245523564517498
p281,p281_034,0.09125103801488876,0.2053651064634323,0.11411406844854355
p281,p281_035,0.03745388612151146,0.2022942453622818,0.16484035924077034
p281,p281_036,0.0059731025248765945,0.18771785497665405,0.18174475245177746
p281,p281_037,0.019574368372559547,0.24455764889717102,0.22498328052461147
p281,p281_038,0.16266119480133057,0.22691167891025543,0.06425048410892487
p281,p281_039,0.038814712315797806,0.24202215671539307,0.20320744439959526
p281,p281_040,0.1404385268688202,0.18999184668064117,0.049553319811820984
p281,p281_041,0.08578114211559296,0.2311680167913437,0.14538687467575073
p281,p281_042,0.05146825686097145,0.21446655690670013,0.16299830004572868
p281,p281_043,0.03827720507979393,0.24302957952022552,0.2047523744404316
p281,p281_044,0.040779903531074524,0.3071707487106323,0.2663908451795578
p281,p281_045,0.06530393660068512,0.14927393198013306,0.08396999537944794
p281,p281_046,-0.03686121106147766,0.20859114825725555,0.24545235931873322
